user_id,age_group,gender,mbti,purpose,fashionstyle,prefercolor
1,40s,M,NONE,mood_boost,street,blue
2,20s,F,ISFJ,"good_impression, mood_boost, unique_style","casual, minimal, simple","pink, coral"
3,50s,F,INTP,"good_impression, special_event","casual, sports","beige, brown"
4,20s,F,ESTP,"good_impression, date_or_social, formal_occasion, unique_style","street, modern, chic","pink, coral"
5,40s,M,ESTJ,good_impression,"minimal, simple","beige, brown"
6,20s,M,INTJ,"self_satisfaction, special_event",casual,black
7,30s,F,ISFJ,self_satisfaction,"casual, minimal, simple, romantic, lovely",purple
8,30s,F,ISTJ,"mood_boost, special_event","casual, romantic, lovely, freestyle","pink, coral"
9,50s,F,INTP,date_or_social,"classic, suit",red
10,50s,F,ENTP,"good_impression, mood_boost, self_satisfaction, special_event",casual,"yellow, orange"
11,50s,M,NONE,"mood_boost, self_satisfaction","casual, classic, suit",black
12,40s,F,INTJ,self_satisfaction,"casual, street",purple
13,30s,M,NONE,self_satisfaction,"casual, minimal, simple",black
14,20s,M,INFP,self_satisfaction,casual,blue
15,20s,F,ISTJ,"self_satisfaction, date_or_social, formal_occasion","casual, minimal, simple, romantic, lovely",blue
16,20s,M,ISTJ,good_impression,"minimal, simple, classic, suit",black
17,50s,F,INTJ,self_satisfaction,"casual, minimal, simple",black
18,40s,F,ENFP,"mood_boost, self_satisfaction, date_or_social","minimal, simple, romantic, lovely, modern, chic",purple
19,30s,F,ISTJ,"good_impression, mood_boost","casual, minimal, simple",white
20,40s,F,NONE,self_satisfaction,casual,black
21,20s,F,INFP,"good_impression, self_satisfaction",freestyle,black
22,30s,F,INFP,"good_impression, mood_boost","minimal, simple, classic, suit","beige, brown"
23,50s,M,ENTJ,mood_boost,casual,"beige, brown"
24,40s,M,INFJ,"mood_boost, special_event","casual, classic, suit, modern, chic, freestyle",black
25,50s,M,NONE,self_satisfaction,freestyle,black
26,50s,M,NONE,self_satisfaction,casual,red
27,30s,F,NONE,mood_boost,"minimal, simple","yellow, orange"
28,40s,M,ENTJ,good_impression,"classic, suit","beige, brown"
29,30s,M,ISFP,"good_impression, special_event","casual, freestyle",black
30,30s,M,NONE,self_satisfaction,"classic, suit",purple
31,40s,M,NONE,good_impression,casual,"beige, brown"
32,50s,F,ISFP,"mood_boost, unique_style","casual, minimal, simple",black
33,40s,M,INTJ,"good_impression, mood_boost, self_satisfaction","modern, chic",black
34,30s,F,ISFJ,"good_impression, self_satisfaction","casual, freestyle","green, mint"
35,30s,M,INFJ,"good_impression, self_satisfaction","casual, minimal, simple","beige, brown"
36,20s,F,ISTJ,self_satisfaction,casual,black
