user_id,used_before,age_group,gender,time,freq_use,style,color,mbti
1,Yes,40s,M,morning,rarely,street,blue,
2,Yes,20s,F,anytime,daily,"casual,minimal , simple","pink , coral",ISFJ
3,Yes,50s,F,morning,rarely,"casual,sports","beige , brown",INTP
4,Yes,20s,F,morning,weekly,"street,modern , chic","pink , coral",ESTP
5,Yes,40s,M,evening,weekly,"minimal , simple","beige , brown",ESTJ
6,Yes,20s,M,afternoon,rarely,casual,black,INTJ
7,Yes,30s,F,anytime,daily,"casual,minimal , simple,romantic , lovely",purple,ISFJ
8,Yes,30s,F,anytime,rarely,"casual,romantic , lovely,freestyle","pink , coral",ISTJ
9,Yes,50s,F,morning,daily,"classic , suit",red,INTP
10,Yes,50s,F,anytime,daily,casual,"yellow , orange",ENTP
11,Yes,50s,M,morning,rarely,"casual,classic , suit",black,
12,No,40s,F,,none,"casual,street",purple,INTJ
13,Yes,30s,M,anytime,weekly,"casual,minimal , simple",black,
14,Yes,20s,M,afternoon,weekly,casual,blue,INFP
15,Yes,20s,F,morning,seasonal,"casual,minimal , simple,romantic , lovely",blue,ISTJ
16,No,20s,M,anytime,none,"minimal , simple,classic , suit",black,ISTJ
17,Yes,50s,F,afternoon,rarely,"casual,minimal , simple",black,INTJ
18,Yes,40s,F,afternoon,weekly,"minimal , simple,romantic , lovely,modern , chic",purple,ENFP
19,Yes,30s,F,anytime,weekly,"casual,minimal , simple",white,ISTJ
20,Yes,40s,F,afternoon,rarely,casual,black,
21,Yes,20s,F,morning,weekly,freestyle,black,INFP
22,Yes,30s,F,anytime,rarely,"minimal , simple,classic , suit","beige , brown",INFP
23,Yes,50s,M,anytime,daily,casual,"beige , brown",ENTJ
24,Yes,40s,M,morning,weekly,"casual,classic , suit,modern , chic,freestyle",black,INFJ
25,Yes,50s,M,morning,weekly,freestyle,black,
26,Yes,50s,M,morning,daily,casual,red,
27,Yes,30s,F,anytime,rarely,"minimal , simple","yellow , orange",
28,Yes,40s,M,morning,daily,"classic , suit","beige , brown",ENTJ
29,Yes,30s,M,anytime,rarely,"casual,freestyle",black,ISFP
30,Yes,30s,M,afternoon,weekly,"classic , suit",purple,
31,Yes,40s,M,morning,weekly,casual,"beige , brown",
32,Yes,50s,F,morning,daily,"casual,minimal , simple",black,ISFP
33,Yes,40s,M,morning,daily,"modern , chic",black,INTJ
34,Yes,30s,F,anytime,daily,"casual,freestyle","green , mint",ISFJ
35,Yes,30s,M,morning,weekly,"casual,minimal , simple","beige , brown",INFJ
36,Yes,20s,F,afternoon,rarely,casual,black,ISTJ
37,Yes,20s,M,morning,rarely,"casual,classic , suit,freestyle",black,ISFP
38,Yes,50s,M,morning,weekly,"minimal , simple,sports",purple,INTJ
39,Yes,40s,M,,none,casual,black,
40,Yes,20s,F,morning,rarely,street,"pink , coral",ISTP
41,Yes,30s,F,,daily,"casual,romantic , lovely",black,INFJ
42,Yes,30s,F,morning,daily,"casual,minimal , simple,romantic , lovely,modern , chic",white,ISTJ
43,Yes,30s,M,morning,weekly,casual,black,ISTJ
44,Yes,40s,M,morning,daily,casual,black,ENTJ
45,Yes,50s,M,anytime,rarely,casual,grey,
46,Yes,30s,M,morning,daily,"casual,modern , chic",black,ESTJ
47,Yes,30s,F,morning,weekly,casual,black,ISTJ
48,Yes,30s,M,anytime,rarely,"casual,minimal , simple","green , mint",ISFJ
49,Yes,50s,F,,none,casual,"beige , brown",INFP
50,Yes,20s,F,morning,rarely,"minimal , simple",white,ISTP
51,Yes,20s,F,evening,rarely,"casual,romantic , lovely","beige , brown",ISTP
52,Yes,20s,F,anytime,seasonal,"classic , suit,modern , chic,freestyle",black,ISTP
53,Yes,30s,M,morning,daily,"casual,classic , suit","beige , brown",INFJ
54,Yes,40s,M,morning,weekly,casual,black,
55,Yes,30s,F,,none,freestyle,black,INFP
56,Yes,40s,M,morning,weekly,"casual,minimal , simple",black,INFJ
57,Yes,40s,M,morning,daily,street,"beige , brown",ISTJ
58,Yes,30s,F,morning,weekly,"minimal , simple,street",black,INTJ
59,Yes,40s,M,morning,daily,"classic , suit","beige , brown",INFJ
60,Yes,40s,M,morning,rarely,casual,"yellow , orange",INFJ
61,Yes,30s,N,,none ,freestyle,"pink , coral",INFP
62,Yes,50s,F,morning,daily,freestyle,black,ISTP
63,Yes,30s,F,morning,weekly,casual,white,ISTP
64,Yes,30s,F,morning,daily,"modern , chic",black,ENFP
65,Yes,30s,F,morning,daily,"casual,minimal , simple,vintage,freestyle",black,INFP
66,Yes,30s,F,morning,weekly,"casual,modern , chic",purple,INFJ
67,Yes,40s,F,morning,weekly,street,"yellow , orange",INFJ
68,Yes,30s,M,morning,daily,"casual,vintage","green , mint",INFJ
69,Yes,30s,F,morning,daily,"minimal , simple,modern , chic",black,ESFJ
70,Yes,30s,M,afternoon,weekly,"classic , suit","beige , brown",ISFJ
71,Yes,30s,F,afternoon,weekly,"casual,sports,freestyle",black,ENFJ
72,Yes,20s,F,afternoon,rarely,"casual,minimal , simple",black,INFJ
73,Yes,30s,M,,none ,freestyle,black,ISTJ
74,Yes,20s,M,anytime,rarely,"casual,freestyle",black,INTP
75,Yes,30s,F,anytime,daily,"minimal , simple","yellow , orange",ISTP
76,Yes,30s,M,evening,rarely,"casual,minimal , simple",black,ISTJ
77,No,10대,M,,none ,freestyle,black,INFP
78,Yes,20s,F,morning,daily,casual,white,INFJ
79,Yes,20s,N,afternoon,rarely,"casual,minimal , simple",black,
80,Yes,20s,M,morning,weekly,"casual,street",blue,ISFJ
81,Yes,30s,F,morning,daily,casual,"beige , brown",INFJ
82,Yes,30s,F,morning,weekly,"classic , suit,romantic , lovely",white,INTJ
83,Yes,20s,N,evening,rarely,freestyle,white,ENTJ
84,Yes,20s,F,morning,daily,casual,black,ISTP
85,Yes,30s,F,morning,rarely,"casual,minimal , simple","beige , brown",INTJ
86,Yes,30s,M,morning,rarely,street,"beige , brown",INTJ
87,Yes,30s,F,morning,rarely,freestyle,"yellow , orange",ESFP
88,Yes,50s,M,morning,rarely,"casual,freestyle",black,
89,Yes,30s,F,morning,rarely,"classic , suit","pink , coral",ISFJ
90,Yes,20s,F,anytime,daily,"casual,romantic , lovely",white,ISTP
91,Yes,20s,N,anytime,rarely,"minimal , simple,classic , suit,romantic , lovely,freestyle","beige , brown",ISFP
92,Yes,20s,M,morning,weekly,"classic , suit,modern , chic","beige , brown",INTJ
93,Yes,40s,M,morning,rarely,freestyle,"beige , brown",
94,Yes,30s,F,evening,rarely,"casual,minimal , simple",black,INTP
95,Yes,30s,M,morning,weekly,casual,"beige , brown",ISTP
96,Yes,20s,F,morning,weekly,"casual,romantic , lovely,modern , chic",black,ESFJ
97,Yes,30s,M,morning,rarely,"casual,minimal , simple,classic , suit",black,ESTP
98,Yes,20s,F,morning,daily,casual,blue,ISFP
99,Yes,20s,F,morning,weekly,"minimal , simple,modern , chic",purple,INTJ
100,Yes,40s,F,anytime,seasonal,freestyle,"beige , brown",
101,Yes,30s,F,anytime,seasonal,"casual,classic , suit,vintage,freestyle",black,ESTP
102,Yes,20s,F,morning,rarely,"casual,minimal , simple,street,romantic , lovely","green , mint",ENFP
103,Yes,20s,F,anytime,rarely,"casual,romantic , lovely","beige , brown",ESFJ
104,Yes,10대,F,anytime,rarely,casual,black,INTP
105,Yes,40s,M,anytime,none ,casual,"beige , brown",ISFJ
106,Yes,40s,F,anytime,rarely,casual,black,
107,Yes,20s,F,evening,rarely,"casual,minimal , simple,freestyle",white,ISTP
108,Yes,40s,F,anytime,weekly,casual,black,INTP
