user_id,used_before,age_group,gender,time,freq_use,style,style,style,style,style,style,style,style,style,color,color,color,color,color,color,color,color,color,mbti,purpose,purpose,purpose,purpose,purpose,purpose,purpose, 
1,Yes,40s,M,morning,rarely,casual,,,,,,,,,,black,,,,,,,,ISTP,good_impression,,,,,,,50k_to_100k
2,Yes,30s,M,morning,weekly,,,,"classic, suit",,,,,,white,black,,,,,,,,ISFP,good_impression,,self_satisfaction,,formal_occasion,,,above_200k
3,Yes,30s,F,morning,daily,,,,,,,,,freestyle,,black,,,,,,,,ESFP,,,,,formal_occasion,,,below_50k
4,Yes,30s,M,anytime,rarely,casual,,,,,,,,,white,black,,,,,,,,ESTP,good_impression,,,,,,,100k_to_200k
5,Yes,40s,M,evening,rarely,casual,,,,,,,,,white,black,,,,,,,,ISTP,,,,date_or_social,formal_occasion,,,100k_to_200k
6,Yes,30s,F,morning,weekly,,"minimal, simple",,,,,,,,,black,,,,,,,,ESTP,good_impression,mood_boost,,,,,,50k_to_100k
7,Yes,50s,M,morning,rarely,casual,,,,,,,,,white,black,,,,,,,,INTP,,,,date_or_social,,,,50k_to_100k
8,Yes,30s,M,morning,rarely,casual,"minimal, simple",,"classic, suit",,,,,,white,black,"beige, brown",,,,,,,ISTP,,,,date_or_social,,special_event,,100k_to_200k
9,Yes,40s,M,afternoon,weekly,,,street,,,,sporty,,,,,,blue,"pink, coral",,,,,ESTP,,,self_satisfaction,,,,,100k_to_200k
10,Yes,50s,M,morning,rarely,casual,,,,,,,,,,,,blue,,,,,,ESFP,good_impression,,,,,,,below_50k
11,Yes,40s,M,morning,daily,casual,,,,,,,,,white,black,,,,,,,,ENTP,good_impression,,,,,,,below_50k
12,Yes,40s,F,morning,daily,,,,"classic, suit",,,,,,white,,"beige, brown",,,,,,,ESTP,good_impression,mood_boost,,,,,,50k_to_100k
13,Yes,40s,M,afternoon,weekly,,,street,,,vintage,,,,,,"beige, brown",blue,,,,,,ISFP,,,self_satisfaction,,,,,50k_to_100k
14,Yes,20s,M,evening,daily,,,street,,,,,,,white,black,,,,,,,,ISTP,good_impression,,,,,,,above_200k
15,Yes,40s,M,morning,daily,,"minimal, simple",,"classic, suit",,,,,freestyle,white,black,"beige, brown",,,,,,,ISFP,good_impression,mood_boost,self_satisfaction,,,,,100k_to_200k
16,Yes,30s,F,anytime,weekly,casual,,,"classic, suit","romantic, lovely",,,,,,,,,"pink, coral",,,purple,,ESTP,,mood_boost,self_satisfaction,date_or_social,,,,50k_to_100k
17,Yes,40s,M,morning,daily,casual,,,"classic, suit",,,,,,white,black,,,,,,,"yellow, orange",ISTP,good_impression,,,,formal_occasion,,,50k_to_100k
18,Yes,30s,F,morning,daily,,"minimal, simple",,,"romantic, lovely",,,,,white,black,,,,,,,,INTP,,mood_boost,,,,,,100k_to_200k
19,Yes,40s,M,morning,weekly,casual,,,,,,,,,,black,,,,,,,,ISFP,good_impression,,,,,,,50k_to_100k
20,Yes,40s,M,morning,rarely,casual,,,,,,,,,white,black,"beige, brown",,,,,,,ESTP,,,,,,special_event,,50k_to_100k
21,Yes,30s,M,morning,weekly,casual,,,,,,,,,white,black,,,,,,,,INTP,good_impression,,,,formal_occasion,,,50k_to_100k
22,Yes,40s,M,morning,daily,casual,,street,,,,,,,white,black,"beige, brown",,,,,,,ISTP,good_impression,,self_satisfaction,,formal_occasion,,,above_200k
23,Yes,40s,M,morning,daily,casual,"minimal, simple",,"classic, suit",,,,,,white,black,"beige, brown",,,,,,,ISFP,good_impression,mood_boost,,,,,,above_200k
24,Yes,30s,F,morning,weekly,,"minimal, simple",,,,,,,,white,black,,,,,,,,ENFP,,mood_boost,,,,,,50k_to_100k
25,Yes,40s,M,anytime,daily,casual,,,,,,sporty,,,,black,,,,,,,,ENTP,good_impression,mood_boost,,,,,,100k_to_200k
26,Yes,40s,M,morning,daily,casual,,,,,,,,,white,black,,blue,,,,,,ISTP,good_impression,mood_boost,,,formal_occasion,,,above_200k
27,Yes,20s,F,anytime,daily,,"minimal, simple",,,,,,,,white,black,"beige, brown",,,,,,,ISTP,good_impression,,,,,,,100k_to_200k
28,Yes,50s,M,morning,seasonal,,,,"classic, suit",,,,,,,black,"beige, brown",,,,,,,ESFP,,,,,formal_occasion,,,100k_to_200k
29,Yes,40s,M,morning,rarely,casual,,,,,,,,,white,black,,,,,,,,ISFP,good_impression,,,,,,,100k_to_200k
30,Yes,30s,M,morning,daily,casual,"minimal, simple",street,"classic, suit","romantic, lovely",vintage,sporty,"modern, chic",,,black,,,,,,,,ISFP,good_impression,,,,,,,above_200k
31,Yes,40s,M,morning,daily,,,street,"classic, suit",,vintage,sporty,,,,black,,blue,,red,,purple,,ESTP,good_impression,,,,formal_occasion,special_event,,100k_to_200k
32,Yes,40s,M,morning,daily,casual,"minimal, simple",,"classic, suit",,,,"modern, chic",,white,black,"beige, brown",,,,,,,ISTP,good_impression,mood_boost,self_satisfaction,,,,,100k_to_200k
33,Yes,40s,M,morning,weekly,casual,,,,,,,,,white,,,,"pink, coral",,,,,ENTP,good_impression,,,,,,,50k_to_100k
34,Yes,40s,M,morning,daily,,"minimal, simple",,,,,,,freestyle,white,black,"beige, brown",blue,,,,,,INFP,good_impression,mood_boost,self_satisfaction,date_or_social,formal_occasion,special_event,unique_style,50k_to_100k
35,Yes,30s,F,morning,daily,,"minimal, simple",,,,,,,freestyle,,black,"beige, brown",,,,,,,INTP,good_impression,mood_boost,self_satisfaction,,,,,100k_to_200k
36,Yes,30s,F,morning,daily,,,,"classic, suit",,,,,freestyle,white,,"beige, brown",blue,,,,,,ENFP,,,self_satisfaction,,,,,50k_to_100k
37,Yes,30s,F,morning,weekly,casual,,,"classic, suit",,,,,,white,,"beige, brown",,,,,,,ISFP,,mood_boost,self_satisfaction,,,,,above_200k
38,Yes,30s,F,morning,daily,casual,"minimal, simple",,,,,,,,white,black,,,,,,,,ISTP,good_impression,mood_boost,,,,,,50k_to_100k
